237, 321, 212, 379, 201, 247, 201, 204, 298, 130
285, 229, 167, 235, 353, 176, 130, 274, 337, 192
367, 88, 235, 275, 290, 221, 141, 148, 341, 365
363, 186, 262, 247, 361, 201, 145, 168, 260, 296
247, 321, 128, 238, 210, 334, 203, 334, 344, 353
195, 273, 351, 209, 362, 216, 416, 125, 255, 185
212, 420, 110, 331, 285, 221, 277, 219, 173, 285
352, 416, 235, 319, 219, 225, 288, 387, 248, 382
316, 214, 224, 251, 220, 158, 186, 333, 296, 234
203, 201, 241, 334, 296, 214, 244, 275, 315, 192
103, 268, 276, 142, 225, 138, 278, 344, 266, 344
253, 265, 343, 165, 412, 271, 259, 303, 237, 127
225, 136, 267, 293, 39, 222, 293, 278, 290, 202
353, 27, 199, 249, 55, 240, 308, 232, 297, 298
309, 236, 413, 146, 165, 289, 221, 305, 282, 428
300, 269, 198, 341, 184, 252, 256, 186, 239, 306
230, 281, 184, 322, 266, 216, 239, 278, 228, 163
294, 324, 220, 227, 150, 260, 291, 403, 169, 73
231, 212, 324, 257, 264, 98, 193, 111, 185, 100
434, 257, 398, 278, 400, 154, 229, 190, 249, 238
336, 280, 221, 305, 110, 126, 341, 200, 296, 321
341, 285, 257, 232, 298, 239, 182, 247, 318, 304
244, 467, 221, 272, 188, 199, 283, 300, 189, 168
296, 191, 265, 399, 149, 262, 242, 324, 171, 305
259, 297, 191, 219, 285, 358, 182, 170, 238, 310
286, 205, 208, 190, 129, 260, 408, 220, 225, 428
265, 221, 243, 332, 330, 235, 179, 217, 320, 246
284, 311, 250, 152, 262, 177, 363, 126, 190, 345
157, 366, 298, 324, 207, 272, 322, 310, 236, 220
218, 181, 171, 230, 293, 200, 280, 330, 217, 345
265, 312, 269, 240, 268, 289, 248, 291, 337, 277
401, 271, 347, 155, 305, 277, 266, 213, 262, 144
306, 234, 360, 158, 212, 309, 394, 244, 262, 170
161, 253, 153, 190, 220, 300, 473, 331, 212, 300
331, 169, 253, 262, 143, 178, 135, 220, 112, 214
350, 256, 220, 274, 195, 231, 261, 243, 232, 260
291, 380, 165, 232, 366, 238, 109, 387, 163, 285
176, 308, 175, 240, 240, 184, 312, 292, 202, 255
